"variable","des","forecast_period","values","date","projection","meeting_month","projection_year"
"1","Federal funds rate","Median1",2013-12-31,0.25,2013-12-18,20131218,"december","2013"
"2","Federal funds rate","Median1",2014-12-31,0.25,2013-12-18,20131218,"december","2013"
"3","Federal funds rate","Median1",2015-12-31,0.75,2013-12-18,20131218,"december","2013"
"4","Federal funds rate","Median1",2016-12-31,1.75,2013-12-18,20131218,"december","2013"
"5","Federal funds rate","Median1",2014-12-31,0.125,2014-12-17,20141217,"december","2014"
"6","Federal funds rate","Median1",2015-12-31,1.125,2014-12-17,20141217,"december","2014"
"7","Federal funds rate","Median1",2016-12-31,2.5,2014-12-17,20141217,"december","2014"
"8","Federal funds rate","Median1",2017-12-31,3.625,2014-12-17,20141217,"december","2014"
"9","Federal funds rate","Median1",2012-12-31,0.25,2011-12-13,20111213,"december","2011"
"10","Federal funds rate","Median1",2013-12-31,0.25,2011-12-13,20111213,"december","2011"
"11","Federal funds rate","Median1",2014-12-31,0.75,2011-12-13,20111213,"december","2011"
